method,progress,in_mb,out_mb,last_group_mb,elapsed_s,speed_mbps,groups,rows,compression_ratio
dictionary,0.2,129.6,28.5,28.5,4.0,32.1,1,150527,0.2199074074074074
dictionary,0.3,259.4,56.6,28.1,7.3,35.4,2,301434,0.21819583654587513
dictionary,0.5,389.2,84.5,27.9,10.1,38.7,3,452899,0.2171120246659815
dictionary,0.7,519.3,126.1,41.6,12.9,40.1,4,615282,0.24282688234161373
dictionary,0.8,649.7,173.3,47.2,16.1,40.5,5,791864,0.26673849468985683
dictionary,1.0,780.2,220.0,46.7,19.1,40.8,6,969778,0.28197897974878233
dictionary,1.2,910.7,266.0,46.0,22.2,41.0,7,1149029,0.2920830130668716
dictionary,1.3,1037.7,325.7,59.8,25.2,41.2,8,1305745,0.3138672063216729
dictionary,1.5,1163.8,400.4,74.6,27.4,42.5,9,1426871,0.3440453686200378
dictionary,1.7,1293.9,441.9,41.5,29.3,44.1,10,1596757,0.3415256202179457
dictionary,1.8,1423.6,486.3,44.4,31.3,45.4,11,1763625,0.3415987636976679
dictionary,2.0,1553.1,520.6,34.3,33.2,46.8,12,1937322,0.3352005666087181
dictionary,2.2,1682.3,558.9,38.3,35.1,47.9,13,2113895,0.3322237413065446
dictionary,2.3,1811.1,618.7,59.8,37.0,49.0,14,2271874,0.3416155927336978
dictionary,2.5,1940.0,678.8,60.2,38.9,49.9,15,2429830,0.3498969072164948
dictionary,2.7,2069.0,739.4,60.6,40.8,50.7,16,2588042,0.3573707104881585
dictionary,2.8,2197.8,798.9,59.4,42.7,51.4,17,2746475,0.36349986349986346
dictionary,3.0,2326.8,858.8,60.0,44.6,52.1,18,2905075,0.3690905965274196
dictionary,3.2,2455.7,916.6,57.8,46.4,52.9,19,3055790,0.3732540619782547
dictionary,3.3,2584.6,984.6,68.0,48.0,53.9,20,3174929,0.3809486961231912
dictionary,3.5,2713.6,1049.9,65.3,49.4,54.9,21,3300400,0.38690300707547176
dictionary,3.7,2842.1,1097.7,47.8,51.4,55.3,22,3469943,0.3862284930157278
dictionary,3.8,2969.7,1139.0,41.3,53.5,55.6,23,3668942,0.38354042495875007
dictionary,4.0,3098.8,1183.7,44.7,55.4,56.0,24,3841573,0.38198657544856074
dictionary,4.2,3227.2,1219.4,35.7,57.1,56.5,25,3995800,0.37785076846802185
dictionary,4.3,3355.9,1257.5,38.1,58.9,57.0,26,4154450,0.3747131916922435
dictionary,4.5,3484.7,1300.0,42.6,60.8,57.4,27,4325856,0.37305937383418947
dictionary,4.7,3613.1,1338.7,38.6,62.6,57.8,28,4497694,0.37051285599623596
dictionary,4.8,3741.4,1377.0,38.3,64.4,58.1,29,4667532,0.3680440476826856
dictionary,5.0,3869.8,1415.7,38.7,66.2,58.5,30,4838815,0.36583285957930645
dictionary,5.2,3998.2,1454.0,38.3,68.0,58.8,31,5008540,0.3636636486418889
dictionary,5.3,4126.6,1492.5,38.5,69.8,59.2,32,5179393,0.36167789463480826
dictionary,5.5,4255.0,1531.0,38.4,71.6,59.4,33,5349350,0.3598119858989424
dictionary,5.7,4383.6,1569.2,38.2,73.4,59.7,34,5519518,0.3579706177570946
dictionary,5.8,4512.1,1607.8,38.6,75.2,60.0,35,5690235,0.35633075508078277
